Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
AP000355.2	ENSG00000228923.1	0.630	2.280	-1.009	1.62e-16
AP003391.1	ENSG00000281272.1	2.060	0.000	1.614	1.08e-3
AP006285.6	ENSG00000227306.1	0.470	2.525	-1.262	4.77e-13
AP006285.7	ENSG00000231487.1	0.060	1.265	-1.095	2.02e-45
AP1M2	ENSG00000129354.11	2.830	0.560	1.296	4.23e-15
AP1S1	ENSG00000106367.13	45.540	17.135	1.360	4.79e-61
AP3B1	ENSG00000132842.13	16.490	6.325	1.256	6.45e-72
APIP	ENSG00000149089.12	18.439	8.705	1.002	1.29e-36
APLN	ENSG00000171388.11	1.590	0.100	1.235	3.06e-34
APOA1BP	ENSG00000163382.11	120.684	38.634	1.618	9.18e-90
APOA2	ENSG00000158874.11	31278.852	10880.067	1.523	9.24e-4
APOA4	ENSG00000110244.6	3.030	26.190	-2.754	1.79e-7
APOA5	ENSG00000110243.11	97.267	211.834	-1.115	5.78e-13
APOBEC3B	ENSG00000179750.15	2.340	0.220	1.453	2.35e-29
APOC2	ENSG00000234906.8	2260.615	475.779	2.246	3.11e-13
APOE	ENSG00000130203.9	5880.405	2771.689	1.085	8.27e-14
APOF	ENSG00000175336.9	17.701	113.668	-2.616	2.62e-38
APOLD1	ENSG00000178878.12	4.300	1.215	1.259	1.19e-25
AQP3	ENSG00000165272.14	24.599	60.915	-1.274	4.29e-21
ARF1	ENSG00000143761.13	269.025	132.775	1.013	3.51e-42
ARF3	ENSG00000134287.9	30.759	14.790	1.008	1.65e-30
ARGLU1	ENSG00000134884.13	17.771	38.953	-1.090	4.10e-6
ARHGAP10	ENSG00000071205.11	1.860	5.190	-1.114	4.07e-22
ARHGEF39	ENSG00000137135.17	1.810	0.400	1.005	1.83e-36
ARL2	ENSG00000213465.7	24.729	8.940	1.372	6.90e-39
ARPC1A	ENSG00000241685.8	87.772	39.045	1.148	8.56e-59
ARPC1B	ENSG00000130429.12	99.181	38.330	1.349	1.13e-27
ARPC3	ENSG00000111229.15	174.634	81.089	1.097	8.44e-55
ARPC5	ENSG00000162704.15	86.762	29.820	1.510	3.85e-56
ARRDC2	ENSG00000105643.9	15.500	7.085	1.029	1.11e-14
ARSE	ENSG00000157399.14	49.900	23.000	1.085	9.66e-7
ARSEP1	ENSG00000224060.3	2.500	0.090	1.683	1.24e-10
ARV1	ENSG00000173409.13	17.670	8.020	1.049	3.26e-45
ASF1B	ENSG00000105011.8	3.270	0.280	1.738	7.91e-48
ASMTL-AS1	ENSG00000236017.7	3.230	11.100	-1.516	3.17e-6
ASNA1	ENSG00000198356.11	43.761	17.964	1.239	1.73e-56
ASPDH	ENSG00000204653.9	33.751	71.634	-1.064	4.55e-11
ASPG	ENSG00000166183.15	7.770	75.475	-3.124	8.33e-41
ASPH	ENSG00000198363.15	41.040	16.180	1.291	4.24e-21
ASPM	ENSG00000066279.16	2.960	0.125	1.816	8.72e-54
ATAD2	ENSG00000156802.12	6.910	1.855	1.470	1.16e-38
ATF3	ENSG00000162772.16	14.940	36.796	-1.246	2.39e-11
ATF5	ENSG00000169136.8	145.946	767.753	-2.387	6.51e-30
ATHL1	ENSG00000142102.15	9.890	26.485	-1.336	7.22e-3
ATIC	ENSG00000138363.14	66.201	32.119	1.021	1.34e-34
ATOH8	ENSG00000168874.12	4.420	18.950	-1.880	2.47e-30
ATOX1	ENSG00000177556.11	347.290	114.178	1.596	6.63e-63
ATP1A1	ENSG00000163399.15	136.342	51.872	1.377	1.61e-31
ATP1B1	ENSG00000143153.12	97.951	37.295	1.370	1.12e-29
ATP1B3	ENSG00000069849.10	21.140	8.200	1.267	1.30e-18
ATP5E	ENSG00000124172.9	77.471	33.549	1.184	5.86e-58
ATP5G1	ENSG00000159199.13	239.967	89.216	1.417	2.90e-65
ATP5G2	ENSG00000135390.17	428.751	189.499	1.174	3.40e-74
ATP5H	ENSG00000167863.11	378.119	168.709	1.160	5.68e-70
ATP5J2	ENSG00000241468.7	584.111	238.425	1.289	2.71e-73
ATP5J2-PTCD1	ENSG00000248919.7	3.960	1.075	1.257	3.69e-31
ATP5L	ENSG00000167283.7	304.183	126.381	1.261	4.57e-59
ATP6AP1	ENSG00000071553.16	65.639	24.015	1.414	1.58e-72
ATP6V0B	ENSG00000117410.13	142.339	68.669	1.041	8.52e-40
ATP6V0E1	ENSG00000113732.8	207.691	99.105	1.060	2.92e-53
ATP6V1C1	ENSG00000155097.11	16.800	6.985	1.157	5.23e-30
ATP6V1D	ENSG00000100554.11	38.409	18.475	1.017	3.53e-39
ATP6V1E1	ENSG00000131100.12	67.568	28.939	1.196	3.07e-53
ATP6V1F	ENSG00000128524.4	102.047	36.464	1.460	5.33e-67
ATP6V1H	ENSG00000047249.16	23.620	11.170	1.016	1.12e-44
ATRAID	ENSG00000138085.16	74.109	34.835	1.068	2.28e-55
ATRN	ENSG00000088812.17	27.481	10.280	1.336	3.10e-24
AURKA	ENSG00000087586.17	7.350	0.990	2.069	2.38e-56
AURKB	ENSG00000178999.12	5.250	0.530	2.030	3.98e-50
AUTS2	ENSG00000158321.15	3.860	9.375	-1.094	2.28e-16
AVPR1A	ENSG00000166148.3	0.470	5.405	-2.123	1.46e-24
AZGP1	ENSG00000160862.12	569.518	1221.805	-1.100	5.97e-16
AZGP1P1	ENSG00000214313.8	6.430	19.275	-1.448	8.77e-28
B3GAT1	ENSG00000109956.12	0.110	1.630	-1.245	5.52e-11
B3GNT3	ENSG00000179913.10	2.330	0.495	1.155	1.36e-10
B3GNT5	ENSG00000176597.11	2.300	0.450	1.186	1.39e-19
B9D1	ENSG00000108641.14	10.260	3.880	1.206	3.33e-37
BAG6	ENSG00000204463.12	179.805	88.398	1.016	1.81e-55
BAMBI	ENSG00000095739.10	13.810	6.220	1.036	1.44e-5
BANF1	ENSG00000175334.7	152.165	69.610	1.117	1.06e-68
BAX	ENSG00000087088.19	78.710	24.245	1.659	1.38e-59
BBOX1	ENSG00000129151.8	2.690	11.375	-1.746	1.48e-11
BCAM	ENSG00000187244.10	57.460	21.915	1.351	2.50e-22
BCAP31	ENSG00000185825.15	202.657	70.416	1.512	1.98e-72
BCAS4	ENSG00000124243.17	1.850	0.410	1.015	2.00e-31
BCHE	ENSG00000114200.9	17.321	38.950	-1.125	8.65e-13
BCL2L12	ENSG00000126453.9	19.401	8.030	1.176	9.33e-50
BCL3	ENSG00000069399.12	31.120	75.011	-1.243	2.34e-15
BCL6	ENSG00000113916.17	10.780	24.681	-1.124	5.88e-13
BCO2	ENSG00000197580.11	2.420	31.444	-3.246	8.54e-76
BEX2	ENSG00000133134.11	2.480	0.685	1.046	1.26e-11
BGN	ENSG00000182492.15	56.790	133.176	-1.215	1.42e-13
BHMT	ENSG00000145692.14	58.582	197.176	-1.734	1.51e-11
BIRC5	ENSG00000089685.14	6.810	0.505	2.376	1.57e-54
BLOC1S1	ENSG00000135441.7	213.441	94.870	1.161	2.56e-73
BLVRA	ENSG00000106605.10	19.460	3.145	2.303	3.46e-46
BMPER	ENSG00000164619.8	0.060	1.515	-1.246	1.97e-87
BMS1P8	ENSG00000260518.1	1.920	0.110	1.395	1.45e-28
BOLA1	ENSG00000178096.8	26.790	11.355	1.169	3.78e-58
BOLA2	ENSG00000183336.7	10.800	2.740	1.658	3.31e-53
BOLA2B	ENSG00000169627.7	84.670	20.260	2.011	1.17e-74
BOLA3	ENSG00000163170.11	36.339	13.220	1.393	4.46e-65
BOP1	ENSG00000261236.5	28.041	9.040	1.532	7.46e-50
BPGM	ENSG00000172331.11	8.150	3.535	1.013	3.91e-40
BPNT1	ENSG00000162813.17	13.670	6.010	1.065	1.24e-31
BRIX1	ENSG00000113460.12	13.000	5.580	1.089	2.97e-39
BRMS1	ENSG00000174744.13	30.751	11.850	1.305	3.54e-69
BROX	ENSG00000162819.11	10.950	4.735	1.059	1.51e-45
BSG	ENSG00000172270.18	301.329	101.335	1.563	1.20e-64
BTF3	ENSG00000145741.15	338.660	168.376	1.004	8.92e-46
BTG3	ENSG00000154640.14	8.550	3.095	1.222	8.12e-29
BUB1	ENSG00000169679.14	1.720	0.110	1.293	3.44e-40
BUB1B	ENSG00000156970.12	1.600	0.160	1.164	1.37e-34
BUD31	ENSG00000106245.9	64.382	29.160	1.116	6.44e-52
BX842568.1	ENSG00000235510.1	0.400	2.485	-1.316	3.16e-30
BYSL	ENSG00000112578.9	12.530	4.635	1.264	2.49e-42
BZW2	ENSG00000136261.14	15.300	6.630	1.095	3.77e-34
C10orf35	ENSG00000171224.8	3.840	1.375	1.027	1.80e-18
C11orf96	ENSG00000187479.5	6.790	26.472	-1.818	1.04e-24
C11orf98	ENSG00000278615.4	63.592	30.650	1.029	1.59e-48
C12orf45	ENSG00000151131.9	19.500	8.885	1.052	3.14e-58
C12orf73	ENSG00000204954.9	7.320	2.955	1.073	9.38e-59
C12orf75	ENSG00000235162.8	6.370	1.335	1.658	2.87e-18
C14orf105	ENSG00000100557.9	5.670	19.307	-1.606	5.36e-20
C14orf166	ENSG00000087302.8	107.940	52.815	1.017	2.38e-65
C14orf180	ENSG00000184601.10	0.010	1.210	-1.130	2.10e-53
C15orf39	ENSG00000167173.18	4.460	1.500	1.127	5.00e-32
C15orf40	ENSG00000169609.13	15.500	7.065	1.033	4.08e-49
C15orf48	ENSG00000166920.10	3.020	0.550	1.375	7.15e-16
C16orf59	ENSG00000162062.14	2.190	0.370	1.219	1.35e-39
C17orf49	ENSG00000258315.5	55.241	23.970	1.171	1.71e-42
C17orf58	ENSG00000186665.8	10.870	4.220	1.185	4.39e-59
C17orf89	ENSG00000224877.3	74.470	35.490	1.048	1.48e-45
C19orf48	ENSG00000167747.13	26.670	11.515	1.145	7.86e-38
C19orf53	ENSG00000104979.8	130.861	56.883	1.188	5.48e-67
C19orf66	ENSG00000130813.17	42.679	100.513	-1.217	3.13e-30
C1orf106	ENSG00000163362.10	1.810	0.260	1.157	1.60e-19
C1orf168	ENSG00000187889.12	3.310	11.729	-1.562	6.25e-32
C1orf198	ENSG00000119280.16	12.460	4.765	1.223	7.64e-27
C1orf228	ENSG00000198520.10	1.790	6.188	-1.365	4.05e-27
C1orf35	ENSG00000143793.12	12.700	5.775	1.016	1.91e-48
C1orf43	ENSG00000143612.18	182.214	81.021	1.159	4.33e-62
C1orf54	ENSG00000118292.8	7.230	2.655	1.171	3.55e-24
C1QA	ENSG00000173372.16	81.492	39.245	1.035	1.34e-9
C1QTNF1	ENSG00000173918.14	4.540	17.865	-1.768	5.91e-25
C1QTNF5	ENSG00000223953.4	11.430	5.080	1.032	2.00e-19
C1R	ENSG00000159403.15	414.692	877.009	-1.079	1.34e-22
C1RL-AS1	ENSG00000205885.7	1.810	5.113	-1.121	6.51e-12
C20orf27	ENSG00000101220.17	22.110	9.443	1.146	4.31e-49
C2orf54	ENSG00000172478.17	6.440	2.305	1.171	4.81e-6
C3P1	ENSG00000167798.16	11.360	51.089	-2.075	5.67e-42
C4A-AS1	ENSG00000233627.2	2.720	10.738	-1.658	2.36e-24
C4B-AS1	ENSG00000229776.1	2.720	10.738	-1.658	2.36e-24
C6	ENSG00000039537.13	47.422	120.137	-1.323	5.41e-20
C6orf1	ENSG00000186577.11	20.870	9.290	1.088	3.18e-43
C6orf47	ENSG00000204439.3	10.630	4.240	1.150	4.29e-35
C6orf48	ENSG00000204387.12	78.378	31.529	1.287	4.33e-40
C6orf89	ENSG00000198663.16	20.281	9.085	1.077	1.24e-38
C7	ENSG00000112936.18	5.880	49.485	-2.875	7.22e-31
C7orf50	ENSG00000146540.14	47.619	20.535	1.175	3.79e-50
C8A	ENSG00000157131.10	73.338	173.446	-1.231	4.02e-19
C8orf33	ENSG00000182307.12	18.379	7.305	1.223	4.89e-48
C8orf4	ENSG00000176907.4	12.810	58.630	-2.110	1.62e-36
C8orf46	ENSG00000169085.11	1.620	5.510	-1.313	2.86e-14
C8orf59	ENSG00000176731.11	87.069	34.170	1.324	3.10e-61
C8orf76	ENSG00000189376.11	19.810	8.225	1.174	8.54e-53
C9	ENSG00000113600.10	23.051	263.854	-3.461	3.80e-35
C9orf16	ENSG00000171159.4	50.801	23.865	1.059	2.63e-38
CACNA1H	ENSG00000196557.10	1.510	5.300	-1.328	2.70e-3
CACNB2	ENSG00000165995.18	0.740	2.575	-1.039	1.27e-15
CACYBP	ENSG00000116161.17	43.419	15.510	1.428	6.64e-39
CADM1	ENSG00000182985.16	40.070	14.410	1.414	1.01e-20
CALM3	ENSG00000160014.16	104.213	50.399	1.033	1.35e-34
CALR	ENSG00000179218.13	813.782	337.302	1.268	2.50e-47
CAMK2B	ENSG00000058404.19	0.240	2.310	-1.416	1.36e-26
CANT1	ENSG00000171302.16	14.810	6.460	1.084	2.58e-39
CANX	ENSG00000127022.14	179.830	85.843	1.058	6.23e-29
CAP2	ENSG00000112186.11	8.860	1.345	2.072	3.05e-52
CAPG	ENSG00000042493.15	26.600	3.725	2.546	7.53e-36
CAPN2	ENSG00000162909.17	26.330	11.385	1.142	1.95e-25
CAPN3	ENSG00000092529.22	3.250	13.150	-1.735	2.72e-26
CAPNS1	ENSG00000126247.10	328.510	144.006	1.184	3.25e-61
CAPRIN1	ENSG00000135387.19	35.170	17.019	1.005	9.85e-33
CASC5	ENSG00000137812.19	3.480	1.025	1.146	7.01e-22
CASK	ENSG00000147044.20	8.900	3.435	1.159	1.41e-26
CAV1	ENSG00000105974.11	11.490	4.810	1.104	7.21e-21
CBFA2T3	ENSG00000129993.14	0.570	2.535	-1.171	1.29e-39
CBR1	ENSG00000159228.12	181.056	75.123	1.258	1.46e-21
CBS	ENSG00000274276.4	4.020	13.905	-1.570	8.68e-5
CBX1	ENSG00000108468.14	14.330	5.675	1.200	2.02e-35
CBX8	ENSG00000141570.10	4.540	1.570	1.108	1.07e-43
CCBE1	ENSG00000183287.13	0.060	1.185	-1.044	3.49e-54
CCDC107	ENSG00000159884.11	40.179	15.745	1.298	1.88e-61
CCDC167	ENSG00000198937.8	49.179	20.844	1.200	8.38e-48
CCDC28B	ENSG00000160050.14	3.800	1.310	1.055	2.88e-26
CCDC34	ENSG00000109881.16	5.740	1.220	1.602	1.03e-51
CCDC64	ENSG00000135127.11	4.250	1.510	1.065	1.30e-13
CCDC80	ENSG00000091986.15	4.300	1.310	1.198	5.83e-10
CCDC84	ENSG00000186166.8	6.330	15.905	-1.206	2.85e-5
CCDC86	ENSG00000110104.11	12.320	4.795	1.201	1.91e-38
CCHCR1	ENSG00000204536.13	11.720	4.520	1.204	6.93e-41
CCL14	ENSG00000276409.4	7.250	46.812	-2.535	1.04e-34
CCL15	ENSG00000275718.1	29.421	9.305	1.562	1.09e-23
CCL18	ENSG00000275385.1	2.040	0.510	1.010	1.72e-11
CCL19	ENSG00000172724.11	2.700	8.890	-1.418	1.65e-6
CCL20	ENSG00000115009.11	22.420	1.500	3.228	7.05e-19
CCL21	ENSG00000137077.7	7.730	17.895	-1.114	1.21e-5
CCL23	ENSG00000274736.4	0.220	2.155	-1.371	1.11e-67
CCNA2	ENSG00000145386.9	2.960	0.455	1.445	1.85e-36
CCNB1	ENSG00000134057.14	14.800	0.900	3.056	1.24e-71
CCNB2	ENSG00000157456.7	4.810	0.270	2.194	3.46e-57
CCNE1	ENSG00000105173.13	1.550	0.220	1.064	5.34e-30
CCNL1	ENSG00000163660.11	21.840	60.633	-1.432	8.69e-22
CCNL2	ENSG00000221978.11	33.029	101.006	-1.584	1.99e-10
CCT3	ENSG00000163468.14	185.734	51.090	1.842	3.78e-87
CCT4	ENSG00000115484.14	57.519	25.355	1.151	2.01e-54
CCT5	ENSG00000150753.11	82.509	34.429	1.237	3.35e-42
CCT6A	ENSG00000146731.10	83.169	34.536	1.244	1.14e-46
CCT7	ENSG00000135624.15	105.829	49.213	1.089	1.59e-57
CD151	ENSG00000177697.17	152.704	70.965	1.095	6.23e-29
CD163L1	ENSG00000177675.8	2.630	0.490	1.285	1.64e-30
CD1D	ENSG00000158473.6	1.310	5.540	-1.501	6.84e-32
CD24	ENSG00000272398.5	50.850	6.745	2.743	5.43e-13
CD248	ENSG00000174807.3	3.790	1.195	1.126	1.40e-25
CD2BP2	ENSG00000169217.8	24.970	9.890	1.254	4.12e-56
CD320	ENSG00000167775.10	20.330	9.475	1.026	1.42e-40
CD34	ENSG00000174059.16	14.170	1.625	2.531	8.03e-94
CD36	ENSG00000135218.17	16.320	7.178	1.083	7.68e-10
CD3D	ENSG00000167286.9	4.120	1.295	1.158	2.24e-16
CD5L	ENSG00000073754.5	1.350	3.725	-1.008	2.12e-11
CD63	ENSG00000135404.11	685.588	273.832	1.321	1.84e-54
CD74	ENSG00000019582.14	753.727	185.354	2.018	1.25e-25
CDA	ENSG00000158825.5	15.420	32.819	-1.042	2.27e-14
CDC123	ENSG00000151465.13	33.160	16.075	1.000	6.77e-45
CDC20	ENSG00000117399.13	9.320	0.310	2.978	3.93e-63
CDC25C	ENSG00000158402.18	1.840	0.055	1.429	3.83e-53
CDC45	ENSG00000093009.9	3.070	0.320	1.624	7.92e-45
CDC6	ENSG00000094804.9	2.440	0.365	1.334	8.64e-29
CDCA3	ENSG00000111665.11	5.670	0.685	1.985	4.65e-50
CDCA5	ENSG00000146670.9	3.890	0.275	1.939	6.90e-56
CDCA8	ENSG00000134690.10	2.690	0.290	1.516	7.21e-44
CDH13	ENSG00000140945.15	3.250	0.320	1.687	2.95e-66
CDHR2	ENSG00000074276.10	1.820	16.165	-2.606	1.02e-28
CDK1	ENSG00000170312.15	6.320	0.330	2.460	7.38e-61
CDK11A	ENSG00000008128.22	11.850	26.269	-1.086	7.63e-7
CDK4	ENSG00000135446.16	47.330	19.380	1.246	1.22e-41
CDK5	ENSG00000164885.12	12.800	4.670	1.283	5.06e-63
CDKN2A	ENSG00000147889.16	10.790	0.315	3.164	9.92e-63
CDKN2AIPNL	ENSG00000237190.3	16.910	6.300	1.295	5.74e-71
CDKN2B	ENSG00000147883.10	2.030	0.370	1.145	2.24e-30
CDKN2C	ENSG00000123080.10	7.910	1.415	1.883	4.49e-54
CDKN3	ENSG00000100526.19	10.960	0.450	3.044	4.14e-74
CDT1	ENSG00000167513.8	3.680	0.265	1.887	1.30e-49
CENPA	ENSG00000115163.14	2.090	0.120	1.464	6.70e-44
CENPF	ENSG00000117724.12	6.140	0.295	2.463	1.12e-53
CENPH	ENSG00000153044.9	3.040	0.590	1.345	7.84e-51
CENPK	ENSG00000123219.12	1.510	0.240	1.017	2.37e-30
